cancer,variable,partial.cor,p
ACC,Purity,0.275323320467573,0.0175878983875247
ACC,B Cell,0.533040833814448,1.20414085664399e-06
ACC,CD8+ T Cell,0.288080207618914,0.0134542113486849
ACC,CD4+ T Cell,0.0395399047018982,0.739792490952296
ACC,Macrophage,0.264496251356811,0.0237415031806848
ACC,Neutrophil,0.287994750414688,0.0134830578488018
ACC,Dendritic Cell,0.353740529487817,0.00213975913166828
BLCA,Purity,-0.350698558197238,4.0526153384948e-12
BLCA,B Cell,0.023014141966794,0.662094033605443
BLCA,CD8+ T Cell,0.350799225005949,4.88046024288502e-12
BLCA,CD4+ T Cell,0.204731159760461,8.15574737682497e-05
BLCA,Macrophage,0.0812928274603385,0.121060659974867
BLCA,Neutrophil,0.464977299109329,7.15945079990155e-21
BLCA,Dendritic Cell,0.45283765545534,7.44286958917848e-20
BRCA,Purity,-0.0847748739043152,0.00746039005588852
BRCA,B Cell,0.136916525197857,1.75198302604245e-05
BRCA,CD8+ T Cell,0.345951840472117,8.02849053189282e-29
BRCA,CD4+ T Cell,0.209925775656342,4.8318045663986e-11
BRCA,Macrophage,0.147295498117731,3.52525401840818e-06
BRCA,Neutrophil,0.359180717344424,2.45986581101327e-30
BRCA,Dendritic Cell,0.282525560225283,6.52385589093231e-19
BRCA-Basal,Purity,-0.398212371438292,2.9598467901158e-06
BRCA-Basal,B Cell,0.281355461020243,0.00154810155198979
BRCA-Basal,CD8+ T Cell,0.281378340974095,0.00161753367774149
BRCA-Basal,CD4+ T Cell,0.415958417107583,1.88984935853171e-06
BRCA-Basal,Macrophage,0.0752702067294533,0.400314797543814
BRCA-Basal,Neutrophil,0.507211327637201,1.56088978560459e-08
BRCA-Basal,Dendritic Cell,0.467446499093588,1.57670589825832e-07
BRCA-Her2,Purity,-0.193711555023045,0.141546767820786
BRCA-Her2,B Cell,-0.177418585486881,0.182740568347222
BRCA-Her2,CD8+ T Cell,0.0763501453471031,0.572423861660943
BRCA-Her2,CD4+ T Cell,0.254938014675469,0.0534423449175378
BRCA-Her2,Macrophage,0.222811058279554,0.0927345898797786
BRCA-Her2,Neutrophil,0.411400880752549,0.00133531563295742
BRCA-Her2,Dendritic Cell,0.153146861223441,0.259801408708136
BRCA-Luminal,Purity,-0.0288802907600135,0.50067419086504
BRCA-Luminal,B Cell,0.0917444980776881,0.032884712902952
BRCA-Luminal,CD8+ T Cell,0.320733357822725,2.59093475893642e-14
BRCA-Luminal,CD4+ T Cell,0.186972317360702,1.31798532428745e-05
BRCA-Luminal,Macrophage,0.15299270366799,0.000350697754503112
BRCA-Luminal,Neutrophil,0.304166293876806,6.8084880528618e-13
BRCA-Luminal,Dendritic Cell,0.239497766635342,2.04125473006356e-08
CESC,Purity,-0.0583786886893451,0.332141761642672
CESC,B Cell,-0.06654612189376,0.26969563262305
CESC,CD8+ T Cell,0.112231410261168,0.0635773032751004
CESC,CD4+ T Cell,0.0481245519192339,0.424990853339423
CESC,Macrophage,-0.152259523281332,0.0111661461674212
CESC,Neutrophil,0.323215420957523,3.72381264789252e-08
CESC,Dendritic Cell,0.172755680308323,0.00399340500331115
CHOL,Purity,-0.138516997382015,0.420435582034475
CHOL,B Cell,0.400698418888911,0.0170611083513624
CHOL,CD8+ T Cell,0.0963854553231158,0.581770676240772
CHOL,CD4+ T Cell,0.118777679102774,0.496764078824327
CHOL,Macrophage,0.0989214009551179,0.571827086312302
CHOL,Neutrophil,0.274923531325772,0.109959879250696
CHOL,Dendritic Cell,0.345509349818427,0.0420613187646333
COAD,Purity,-0.0904409308770439,0.0683484783902063
COAD,B Cell,0.207771456712051,2.56234370312687e-05
COAD,CD8+ T Cell,0.289360289457768,2.84992044691212e-09
COAD,CD4+ T Cell,0.182316470027522,0.000237945598252578
COAD,Macrophage,0.287412690040984,4.01389192221209e-09
COAD,Neutrophil,0.455126167015095,6.74093980763261e-22
COAD,Dendritic Cell,0.32617728140241,2.03229477926296e-11
DLBC,Purity,-0.362015182354689,0.0184802026676612
DLBC,B Cell,0.434709938336155,0.071421775502556
DLBC,CD8+ T Cell,0.00389794185097012,0.986621058629827
DLBC,CD4+ T Cell,0.287357179238834,0.206572613986893
DLBC,Macrophage,-0.126699285928418,0.584193140932424
DLBC,Neutrophil,0.455681513891413,0.0378971339892087
DLBC,Dendritic Cell,0.243953830656798,0.286564327711056
ESCA,Purity,-0.165269956635018,0.0261896710293912
ESCA,B Cell,0.044849308547497,0.551082261092293
ESCA,CD8+ T Cell,0.215900941726267,0.00360452534166628
ESCA,CD4+ T Cell,-0.0529252507596115,0.481666830864628
ESCA,Macrophage,0.0611939880424007,0.41447215015974
ESCA,Neutrophil,0.247671346456801,0.000802035954853297
ESCA,Dendritic Cell,0.0693134122793021,0.355189136090656
GBM,Purity,-0.197332268925242,4.7563808519747e-05
GBM,B Cell,-0.0239444789353248,0.625443561541289
GBM,CD8+ T Cell,-0.0948048922742182,0.0527635948662441
GBM,CD4+ T Cell,-0.0900798576856242,0.065780853680545
GBM,Macrophage,0.00277846086767925,0.954835341511647
GBM,Neutrophil,0.0919996217827871,0.0602047218727575
GBM,Dendritic Cell,0.377545285226998,1.31087372298062e-15
HNSC,Purity,-0.168347094140454,0.000173162906738014
HNSC,B Cell,-0.0771360974179382,0.0927645732046439
HNSC,CD8+ T Cell,-0.0114727904403182,0.803260979518236
HNSC,CD4+ T Cell,0.227409341863141,4.7679692539757e-07
HNSC,Macrophage,0.0073194731910934,0.872528719763455
HNSC,Neutrophil,0.34987818340524,3.06736136548839e-15
HNSC,Dendritic Cell,0.2221540246239,8.37981683448934e-07
HNSC-HPVpos,Purity,-0.0252499494501061,0.813253213481416
HNSC-HPVpos,B Cell,-0.0352823619923477,0.757554203937679
HNSC-HPVpos,CD8+ T Cell,0.143857372942355,0.208917009703756
HNSC-HPVpos,CD4+ T Cell,0.140519833970731,0.207963580450693
HNSC-HPVpos,Macrophage,-0.0308119777208437,0.778231704100308
HNSC-HPVpos,Neutrophil,0.353007419297853,0.000920549422331684
HNSC-HPVpos,Dendritic Cell,0.276940290208448,0.0112587022841592
HNSC-HPVneg,Purity,-0.219730627602928,8.96439738160744e-06
HNSC-HPVneg,B Cell,-0.12764172812759,0.0112143713136176
HNSC-HPVneg,CD8+ T Cell,-0.0874011055346312,0.0835493477236541
HNSC-HPVneg,CD4+ T Cell,0.229121917760929,4.21234246831165e-06
HNSC-HPVneg,Macrophage,0.0122167381150084,0.808986370959079
HNSC-HPVneg,Neutrophil,0.335624162182977,9.49648886407042e-12
HNSC-HPVneg,Dendritic Cell,0.190562787501119,0.000136082679055878
KICH,Purity,0.0786088893584624,0.530402491272281
KICH,B Cell,0.453663986705859,0.000147427160034978
KICH,CD8+ T Cell,0.639071099846156,1.01019409041249e-08
KICH,CD4+ T Cell,-0.255914564277229,0.0396269194237979
KICH,Macrophage,0.664544627830394,1.57848299015224e-09
KICH,Neutrophil,-0.0387684158687019,0.759139057873408
KICH,Dendritic Cell,0.346366679256418,0.00470784653628718
KIRC,Purity,-0.192680962351156,3.05356842160907e-05
KIRC,B Cell,0.386392174873471,8.58071831138283e-18
KIRC,CD8+ T Cell,0.351492470890755,3.50031544884138e-14
KIRC,CD4+ T Cell,0.315322636974686,4.45686442239431e-12
KIRC,Macrophage,0.44311502353982,5.70754889739505e-23
KIRC,Neutrophil,0.533602002932247,4.58840831724183e-35
KIRC,Dendritic Cell,0.485641392665184,2.65807120425299e-28
KIRP,Purity,-0.131232647356278,0.034779924467863
KIRP,B Cell,0.214219285959979,0.000558758632842791
KIRP,CD8+ T Cell,0.269751520038823,1.11525531985918e-05
KIRP,CD4+ T Cell,0.166144674256749,0.00748781609164724
KIRP,Macrophage,0.122360099947614,0.053812037272686
KIRP,Neutrophil,0.408951719939767,8.01955882152757e-12
KIRP,Dendritic Cell,0.452365380325358,2.56581598833276e-14
LGG,Purity,-0.199506396515227,1.08597800650106e-05
LGG,B Cell,0.19645359927806,1.51780467701947e-05
LGG,CD8+ T Cell,0.438568773192702,6.87397058320553e-24
LGG,CD4+ T Cell,-0.10030880422643,0.0286515867798967
LGG,Macrophage,0.0568570421721127,0.21709643459691
LGG,Neutrophil,0.107656358385915,0.0189273622583868
LGG,Dendritic Cell,0.0277026265276614,0.546557538044488
LIHC,Purity,-0.0727383461122312,0.177046781153398
LIHC,B Cell,0.33633012997037,1.52585791025434e-10
LIHC,CD8+ T Cell,0.321593964457162,1.14314671544266e-09
LIHC,CD4+ T Cell,0.383197480336285,1.77960142027271e-13
LIHC,Macrophage,0.440990834545432,1.16828916226974e-17
LIHC,Neutrophil,0.43730420761346,1.51202043116278e-17
LIHC,Dendritic Cell,0.409393185803416,3.5872866476808e-15
LUAD,Purity,-0.0946286584194361,0.0354990808930646
LUAD,B Cell,0.0852383568189723,0.0609571142612032
LUAD,CD8+ T Cell,0.250413595098809,2.12584059842048e-08
LUAD,CD4+ T Cell,0.105757826339897,0.0199553799263973
LUAD,Macrophage,0.212021238947723,2.46627932419071e-06
LUAD,Neutrophil,0.230345649924549,3.08407713097628e-07
LUAD,Dendritic Cell,0.308839202510591,3.03172416728124e-12
LUSC,Purity,-0.31071294322977,3.70221079566448e-12
LUSC,B Cell,0.107758973606772,0.019194131475918
LUSC,CD8+ T Cell,0.313013096875579,2.94858918621436e-12
LUSC,CD4+ T Cell,0.170129783556226,0.000195070938881241
LUSC,Macrophage,0.291630747505826,8.34212623377566e-11
LUSC,Neutrophil,0.500621512887033,1.46474495901674e-31
LUSC,Dendritic Cell,0.361522306553602,4.41514422895745e-16
MESO,Purity,-0.14454989558046,0.184220800685761
MESO,B Cell,0.214710291240193,0.049843429899141
MESO,CD8+ T Cell,0.180303456027465,0.10075000572873
MESO,CD4+ T Cell,-0.224253577360708,0.0402943364144149
MESO,Macrophage,0.140723434283753,0.201676281801902
MESO,Neutrophil,0.0457023272037788,0.679747074921727
MESO,Dendritic Cell,0.0896947497057515,0.417144323153698
OV,Purity,-0.169919606599072,0.000172710847060915
OV,B Cell,0.0743022179059811,0.103974389382246
OV,CD8+ T Cell,0.102412935640878,0.0248447898324169
OV,CD4+ T Cell,0.107006307813494,0.0190263257718602
OV,Macrophage,0.0755875630939317,0.098109275077763
OV,Neutrophil,0.246449607770546,4.50146900052211e-08
OV,Dendritic Cell,0.161832643893322,0.000371103876791062
PAAD,Purity,-0.185966642043692,0.0145863217083172
PAAD,B Cell,0.309951997839045,3.6995746593509e-05
PAAD,CD8+ T Cell,0.490082731116578,1.02185995198159e-11
PAAD,CD4+ T Cell,0.0570899797613552,0.460962348529557
PAAD,Macrophage,0.406192221987888,3.54363449584693e-08
PAAD,Neutrophil,0.466261933600756,1.30053469747364e-10
PAAD,Dendritic Cell,0.495375435597716,5.65137020704143e-12
PCPG,Purity,0.151106946876962,0.0505607943314842
PCPG,B Cell,0.223169365179325,0.00374384558986099
PCPG,CD8+ T Cell,-0.060231223139145,0.439395101546842
PCPG,CD4+ T Cell,-0.0460134769684489,0.554874349366472
PCPG,Macrophage,0.120717304094451,0.12132109530338
PCPG,Neutrophil,0.138487586835365,0.074290124533609
PCPG,Dendritic Cell,-0.0327187335365378,0.674663805007857
PRAD,Purity,-0.246797262103701,3.32945109926972e-07
PRAD,B Cell,0.433222071769783,2.80568748323874e-20
PRAD,CD8+ T Cell,0.551937151298489,1.53830058364942e-34
PRAD,CD4+ T Cell,0.291468225761438,1.72030720353728e-09
PRAD,Macrophage,0.544386871860466,1.80616715877938e-33
PRAD,Neutrophil,0.460826112812064,3.71810966918922e-23
PRAD,Dendritic Cell,0.506435346351461,2.03478914109639e-28
READ,Purity,-0.0275815625403707,0.746327866206546
READ,B Cell,0.266232236707121,0.00153563840053859
READ,CD8+ T Cell,0.473477227125128,3.94338974632926e-09
READ,CD4+ T Cell,-0.0802411468354243,0.347729973035759
READ,Macrophage,0.153751791079278,0.0707469158133968
READ,Neutrophil,0.252694399393136,0.00278822016600171
READ,Dendritic Cell,0.179764383722081,0.0342145617220629
SARC,Purity,0.118378164744539,0.0643214223477823
SARC,B Cell,0.137674192627087,0.0333890835867557
SARC,CD8+ T Cell,0.234641958805673,0.000245017969772254
SARC,CD4+ T Cell,0.0547495902763314,0.399450617332096
SARC,Macrophage,0.151523097807689,0.0201333676364671
SARC,Neutrophil,0.161250723317424,0.0120067891362717
SARC,Dendritic Cell,0.153338648363704,0.0172102620437483
SKCM,Purity,-0.147509563594436,0.00154790355357796
SKCM,B Cell,0.117030234443461,0.0131874887685693
SKCM,CD8+ T Cell,0.433635751742392,1.65651704768459e-21
SKCM,CD4+ T Cell,0.191438323893596,4.71582124273822e-05
SKCM,Macrophage,0.234753836483505,4.33928076855795e-07
SKCM,Neutrophil,0.57247338890552,1.03119501287623e-40
SKCM,Dendritic Cell,0.306669212754334,3.63057154241071e-11
SKCM-Primary,Purity,0.0216001245596395,0.828545649424285
SKCM-Primary,B Cell,-0.00321314739788415,0.974559880946598
SKCM-Primary,CD8+ T Cell,0.362813537077203,0.000192444176209008
SKCM-Primary,CD4+ T Cell,0.102208173368673,0.309124761081031
SKCM-Primary,Macrophage,0.244356760617809,0.0137917719270236
SKCM-Primary,Neutrophil,0.576391851603128,3.49108384094725e-10
SKCM-Primary,Dendritic Cell,0.145110589534849,0.147654376994807
SKCM-Metastasis,Purity,-0.198657006464172,0.000164956843366066
SKCM-Metastasis,B Cell,0.0846019833620283,0.116226687834567
SKCM-Metastasis,CD8+ T Cell,0.423811489848907,4.44330476259073e-16
SKCM-Metastasis,CD4+ T Cell,0.170873273062758,0.00146707546251004
SKCM-Metastasis,Macrophage,0.173100844741234,0.00112958406161172
SKCM-Metastasis,Neutrophil,0.546512257274434,1.00602603309228e-28
SKCM-Metastasis,Dendritic Cell,0.299413566283112,1.48287392509852e-08
STAD,Purity,-0.105658473699723,0.0395284542829306
STAD,B Cell,-0.115743373058538,0.0261961689580372
STAD,CD8+ T Cell,0.295792985838698,6.60189035121739e-09
STAD,CD4+ T Cell,-0.0740493325458487,0.157437434831154
STAD,Macrophage,0.0701831665906881,0.177950009111989
STAD,Neutrophil,0.325380625533427,1.34757953412978e-10
STAD,Dendritic Cell,0.269327233160025,1.38101668681965e-07
TGCT,Purity,-0.250718839261381,0.00211557135180968
TGCT,B Cell,0.387519677368285,1.23983177404001e-06
TGCT,CD8+ T Cell,0.240102779330252,0.00339820421089167
TGCT,CD4+ T Cell,0.348057185828272,1.67116285147772e-05
TGCT,Macrophage,0.129718588239717,0.117359894893048
TGCT,Neutrophil,0.299591336879987,0.000227461540271087
TGCT,Dendritic Cell,0.341979248650848,2.392313800083e-05
THCA,Purity,-0.0388138194936986,0.391760254377588
THCA,B Cell,0.670971634773127,2.40921608643243e-64
THCA,CD8+ T Cell,-0.17071670028026,0.000153379845196892
THCA,CD4+ T Cell,0.428030411753537,3.6801753436017e-23
THCA,Macrophage,0.425089181718539,7.80739423542567e-23
THCA,Neutrophil,0.421667423859301,1.85563809588904e-22
THCA,Dendritic Cell,0.457473503664709,1.85471569902433e-26
THYM,Purity,0.0851863414897687,0.363242974936317
THYM,B Cell,0.236592765804332,0.0112649776496324
THYM,CD8+ T Cell,-0.0168870242642536,0.858464037908468
THYM,CD4+ T Cell,0.0228366645367435,0.811953521551958
THYM,Macrophage,0.178845909564239,0.0569248392561532
THYM,Neutrophil,0.300218271868577,0.00117314264050854
THYM,Dendritic Cell,0.128498647082113,0.173032004486763
UCEC,Purity,-0.026374081686827,0.652441386027994
UCEC,B Cell,0.142320147276267,0.0154653402822941
UCEC,CD8+ T Cell,-0.020999198029237,0.722231201734964
UCEC,CD4+ T Cell,0.131929488302629,0.0244039966764197
UCEC,Macrophage,0.0109077015849297,0.852760864642185
UCEC,Neutrophil,0.392573972253471,3.10283684118144e-12
UCEC,Dendritic Cell,0.200328787868238,0.000574218677158487
UCS,Purity,-0.479327254656313,0.000245353031176348
UCS,B Cell,0.25050534359104,0.0704219893960169
UCS,CD8+ T Cell,0.37867582407622,0.00517366783638827
UCS,CD4+ T Cell,-0.0421841048067257,0.764241650453639
UCS,Macrophage,0.329182316728702,0.0160912489316446
UCS,Neutrophil,0.440881898683847,0.000952595913387976
UCS,Dendritic Cell,0.283411467243036,0.0397399743375486
UVM,Purity,0.041645062766023,0.717338431182481
UVM,B Cell,0.286080687233346,0.0128406450397257
UVM,CD8+ T Cell,0.147179943745135,0.201480962188706
UVM,CD4+ T Cell,-0.154732294596127,0.181999940827896
UVM,Macrophage,-0.017923707403411,0.888205847799391
UVM,Neutrophil,0.354643428336007,0.00155285355543235
UVM,Dendritic Cell,-0.152676203637028,0.194067837754316
